genotype,date,temp,food,pheromone,neuron,cell.ID,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,notes,line,rescaledASI,medianASI,medianASJ,rescaledASJ
N2,9_21_16,27,HB101,0,ASJ,1595,7,0.597,867.947,876,823,916,518.569,870,49473,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1596,8,0.629,4002.183,4095,3835,4095,2517.019,4010,240131,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASI,1597,8,0.818,3572.872,3326,3141,3772,2921.127,3610,278684,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1598,8,0.398,1348.184,1330,1297,1413,536.996,1348,51231,HB101 contaminated,,,,,
N2,9_21_16,27,HB101,0,ASJ,1599,8,0.409,853.795,842,826,887,349.025,853,33298,HB101 contaminated,,,,,
N2,12_1_16,20,OP50,0,ASI,1600,daf28GFP_WT_20-02.czi:z:13/18 - daf28GFP_WT_20-02.czi #1,0.818,1854.59,1975,1590,1983,1516.285,1891,144658,,,,,,
N2,12_1_16,20,OP50,0,ASI,1601,daf28GFP_WT_20-02.czi:z:9/18 - daf28GFP_WT_20-02.czi #1,1.101,1587.171,1452,1117,1870,1746.833,1627,166653,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1602,daf28GFP_WT_20-02.czi:z:6/18 - daf28GFP_WT_20-02.czi #1,0.901,1884.012,1898,1772,1976,1698.323,1892,162025,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1603,daf28GFP_WT_20-02.czi:z:15/18 - daf28GFP_WT_20-02.czi #1,0.597,1280.684,1264,1231,1339,765.165,1280,72999,,,,,,
N2,12_1_16,20,OP50,0,ASI,1604,daf28GFP_WT_20.czi:z:6/16 - daf28GFP_WT_20.czi #1,0.587,1515.571,1488,1401,1616,889.616,1524,84872,,,,,,
N2,12_1_16,20,OP50,0,ASI,1605,daf28GFP_WT_20.czi:z:8/16 - daf28GFP_WT_20.czi #1,0.901,1297.256,1306,1152,1376,1169.398,1306,111564,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1606,daf28GFP_WT_20.czi:z:5/16 - daf28GFP_WT_20.czi #1,0.765,838.096,829,779,893,641.291,840,61181,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1607,daf28GFP_WT_20.czi:z:14/16 - daf28GFP_WT_20.czi #1,0.818,812.244,796,772,851,664.078,811,63355,,,,,,
N2,12_1_16,20,OP50,0,ASI,1608,daf28GFP_WT_20-10.czi:z:8/22 - daf28GFP_WT_20-10.czi #1,0.786,2351.72,2262,2134,2507,1848.78,2371,176379,,,,,,
N2,12_1_16,20,OP50,0,ASI,1609,daf28GFP_WT_20-10.czi:z:12/22 - daf28GFP_WT_20-10.czi #1,0.608,1591.672,1553,1504,1664,967.654,1595,92317,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1610,daf28GFP_WT_20-10.czi:z:8/22 - daf28GFP_WT_20-10.czi #1,0.503,1289.604,1279,1181,1350,648.838,1301,61901,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1611,daf28GFP_WT_20-10.czi:z:19/22 - daf28GFP_WT_20-10.czi #1,0.388,1119.757,1115,1072,1152,434.274,1120,41431,,,,,,
N2,12_1_16,20,OP50,0,ASI,1612,daf28GFP_WT_20-09.czi:z:6/16 - daf28GFP_WT_20-09.czi #1,0.87,534.301,528,464,580,464.839,538,44347,,,,,,
N2,12_1_16,20,OP50,0,ASI,1613,daf28GFP_WT_20-09.czi:z:11/16 - daf28GFP_WT_20-09.czi #1,0.713,696.265,701,651,735,496.274,701,47346,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1614,daf28GFP_WT_20-09.czi:z:12/16 - daf28GFP_WT_20-09.czi #1,0.671,863.484,857,804,901,579.259,865,55263,,,,,,
N2,12_1_16,20,OP50,0,ASJ,1615,daf28GFP_WT_20-09.czi:z:6/16 - daf28GFP_WT_20-09.czi #1,0.849,1099.691,1093,1031,1167,933.672,1100,89075,,,,,,
N2,12_1_16,20,OP50,0,ASI,1616,daf28GFP_WT_20-08.czi:z:6/17 - daf28GFP_WT_20-08.czi #1,0.587,1822.607,1778,1727,1924,1069.841,1827,102066,,,,,,
N2,12_1_16,20,OP50,0,ASI,1617,daf28GFP_WT_20-08.czi:z:10/17 - daf28GFP_WT_20-08.czi #1,0.618,1230.119,1267,1048,1323,760.742,1240,72577,,,,,,
